,indicator,ISO Country code (2018),population (2018),surface area (Km2) (2018),GINI index,happy planet index (2016),happy planet index (2019),human development index (2017),human development index (2021),sustainable economic development assessment (SEDA) (2018),"GDP growth
(annual %) (2018)","GDP growth
(annual %) (Latest)","GDP ($ USD billions PPP) (2018)","GDP ($ USD billions PPP) (2019)","GDP ($ USD billions PPP) (2020)","GDP ($ USD billions PPP) (2021)",GDP per capita in $ (PPP) (2018),GDP per capita in $ (PPP) (2019),GDP per capita in $ (PPP) (2020),GDP per capita in $ (PPP) (2021),Economic Growth (2018),Economic Growth (2021),"health expenditure % of GDP (2014)","health expenditure % of GDP (2015)","health expenditure % of GDP (2016)","health expenditure % of GDP (2017)","health expenditure % of GDP (2018)","health expenditure % of GDP (2019)","health expenditure % of GDP (2020)","health expenditure % of GDP (2021)","health expenditure % of GDP (Latest)","health expenditure per person (2015)","health expenditure per person (2018)","health expenditure per person (2019)",infant mortality (2020),"maternal mortality per 100,000 live births (Latest)","education expenditure% of GDP (2014)","education expenditure % of GDP (2018)","education expenditure% of (Latest)",Education as % of GDP (2018),Education as % of GDP (Latest),% of primary school aged kids out of school (2018),% of primary school aged kids out of school (Latest),unemployment (%) (2018),unemployment (%) (2021),% of population in extreme poverty (Latest),% of population with access to electricity (2020),political rights score (2018),political rights score (2022),civil liberties score (2018),civil liberties score (2022),political stability & absence of violence (2017),political stability & absence of violence (2021),government effectiveness (2017),government effectiveness (2021),regulatory quality (2017),regulatory quality (2021),rule of law (2017),rule of law (2021),control of corruption (2017),control of corruption (2021),judicial effectiveness score (2018),judicial effectiveness score (2022),government integrity score (2018),government integrity score (2022),overall economic freedom score (2017),overall economic freedom score (2022),financial freedom score (2018),financial freedom score (2022),government expenditure (% of GDP) (2018),CO2e emissions per capita (2019),share of electricity from renewables generation (2015),share of electricity from renewables generation (Latest),% of seats held by women in national parliaments (2017),% of seats held by women in national parliaments (2018),% of seats held by women in national parliaments (2021),Military Spending as % of GDP (2021),Military Spending as % of GDP (2019)
1,Afghanistan,AFG,"36,000,000","652,230",-,20.2,29.4,0.498,0.478,-,1.5,-2.35,75.6,78.6,76.7,,2082.0,2152.0,2078.0,,1.19,-2.35,3.7,3.26,3.51,3.37,3.2,3.21,,,3.21,184,70.0,65.8,60.8,638,3.8,3.2,,3.2,3.21,,,8.5,13.28,0,97.7,12.0,1.0,14.0,9.0,-2.78,-2.53,-1.3,-1.6,-1.3,-1.3,-1.57,-1.871,-1.52,-1.14,28.2,-,26.2,-,51.3,-,10,-,26.3,0.16,86.10%,82.80%,27.7,,27.0,...,1.20%
2,Albania,ALB,"2,900,000","27,398",29,36.8,51,0.785,0.796,53.1,2.6,8.54,38.2,39,37.6,40.8,13498.0,13999.0,13632.0,15646.0,4.02,8.54,3.05,3.44,3.96,3.61,,3.92,3.1,,3.92,774,274.9,,2.4,15,-,,3.1,,3.1,2.56,3.84,16.3,11.82,0,100.0,28.0,28.0,40.0,39.0,0.4,0.11,0.1,0,0.2,0.2,-0.4,-0.256,-0.42,-0.56,25.4,49.8,39.9,35.6,64.5,66.6,70,70,30.1,1.69,100.00%,100.00%,27.9,28.0,36.0,1.42%,1.30%
3,Algeria,DZA,"41,000,000","2,381,740",35.3,33.3,46.5,0.754,0.745,45.8,3.7,3.85,491.1,496.1,470.8,488.9,11909.0,12008.0,11323.0,12037.0,1.1,3.85,,,7.34,6.51,5.87,6.1,,,6.1,"1,031",256.0,248.2,11.6,112,-,5.87,6.1,5.87,6.1,0.35,0.18,11.2,12.7,,99.8,10.0,10.0,25.0,22.0,-0.96,-0.88,-0.6,-0.6,-1.2,-1.2,-0.86,-0.816,-0.61,-0.61,35.2,29.7,29,30.1,44.7,45.8,30,30,42.5,3.98,0.30%,1.10%,25.8,26.0,8.0,5.59%,6.00%
4,Angola,AGO,"30,000,000","1,246,700",42.7,-,-,0.581,0.586,28.4,3,0.7,215.1,213.6,201.9,203.3,7149.0,6995.0,6478.0,6581.0,-1.32,0.7,3.12,3.49,2.75,2.47,2.04,1.93,2.42,,2.42,196,87.3,71.3,8.8,241,-,2.04,2.42,2.04,2.42,,,6.6,8.53,11.9,46.9,10.0,10.0,16.0,20.0,-0.29,-0.71,-1,-1.1,-1,-0.7,-1.1,-0.952,-1.41,-0.66,25.4,25.3,18.9,20.6,48.6,52.6,40,40,32.1,0.79,54.50%,68.20%,38.2,30.0,30.0,1.13%,1.60%
5,Argentina,ARG,"44,000,000","2,736,690",41.7,35.2,50,0.825,0.842,57.3,1.2,10.26,"1,012.10",991.6,893.5,985.2,23291.0,22997.0,20769.0,23627.0,-2.62,10.26,5.36,5.78,5.55,5.45,4.88,4.72,,,4.72,"1,390",1127.9,946.0,9.7,39,5.4,4.88,4.72,4.88,4.72,0.4,0.42,6.6,10.9,0.3,100.0,33.0,35.0,50.0,49.0,0.18,-0.11,0.2,-0.4,-0.3,-0.6,-0.25,-0.462,-0.26,-0.4,44.5,57.9,32.6,45.1,52.3,50.1,60,60,38.5,3.74,30.70%,27.10%,38.9,39.0,45.0,0.57%,0.70%
6,Armenia,ARM,"3,000,000","28,203",31.5,25.7,54.7,0.755,0.759,51.7,3,5.7,37.5,40.4,37.4,39.5,13019.0,14230.0,13311.0,14630.0,5.2,5.7,2.25,2.81,2.76,2.71,2.26,2.56,2.71,,2.71,883,422.3,524.0,,26,2.2,2.26,2.71,2.26,2.71,6.91,10.48,16.8,20.9,0.1,100.0,15.0,23.0,30.0,32.0,-0.71,-0.84,-0.1,-0.2,0.3,0.1,-0.16,-0.096,-0.56,0.07,47.4,33.1,40.5,50.8,68.7,65.3,70,70,25.8,2.09,29.60%,24.60%,18.1,18.0,34.0,4.44%,4.90%
7,Australia,AUS,"25,000,000","7,682,300",30.3,21.2,43.1,0.939,0.951,78.9,2.5,1.48,"1,224.90","1,250.80","1,250.70","1,269.20",50169.0,51748.0,53317.0,55807.0,2.87,1.48,5.16,5.32,5.29,5.14,5.12,,,,5.12,"4,492",5364.5,5427.5,3.0,6,5.2,5.12,,5.12,,0.43,1.46,5.7,5.11,0.4,100.0,40.0,39.0,58.0,56.0,0.9,0.85,1.5,1.5,1.9,1.8,1.68,1.674,1.8,1.74,93.4,95.2,77.4,87,80.9,77.7,90,90,36,15.24,14.40%,24.60%,28.7,29.0,31.0,1.98%,1.90%
8,Austria,AUT,"9,000,000","82,445",30.5,30.5,46.8,0.908,0.916,80.3,0.9,4.48,488.5,495.8,462.4,483.1,56960.0,58076.0,55686.0,58427.0,2.5,4.48,5.45,5.46,5.48,5.37,5.22,,,,5.22,"5,138",5322.3,5242.2,17.3,5,5.4,5.22,,5.22,-,0.04,0.06,6.1,6.3,0.5,100.0,37.0,37.0,57.0,56.0,1.04,0.91,1.5,1.6,1.4,1.3,1.81,1.788,1.53,1.27,80.9,94.6,73.5,82.9,71.8,73.8,70,70,51.8,7.29,80.00%,83.90%,30.6,34.0,40.0,0.80%,0.70%
9,Azerbaijan,AZE,"10,000,000","82,629",33.7,-,48,0.757,0.745,51.1,1.1,5.6,141.2,144.8,138.5,146.3,14549.0,15052.0,14479.0,15843.0,1.5,5.6,2.63,2.95,2.9,2.47,2.46,2.68,,,2.46,"1,191",168.4,193.1,38.6,26,2.6,2.46,2.68,2.46,2.68,3.89,10.46,5.1,6.58,,100.0,3.0,2.0,9.0,7.0,-0.76,-0.85,-0.2,0.2,-0.3,-0.1,-0.56,-0.585,-0.88,-0.83,36.8,15.9,39.9,28.6,64.3,61.6,60,60,36.8,3.54,7.80%,12.30%,16.8,17.0,18.0,5.27%,4.00%
10,Bahamas,BHS,"400,000","10,010",-,-,-,0.807,0.812,60.4,0.5,13.72,14,14.2,10.8,12.3,37066.0,38064.0,29065.0,34108.0,1.83,13.72,2.5,2.25,2.33,2.42,2.25,2.29,2.37,2.78,2.78,"1,699",2002.4,2004.6,4.9,70,-,2.25,2.78,2.25,2.78,,,15.3,13.24,,100.0,38.0,38.0,53.0,53.0,1,0.88,0.6,0.5,0.1,0.1,0.19,0.102,1.17,1.18,53.5,78.8,50.9,64.3,63.3,68.7,60,60,23.8,7.29,0.00%,0.00%,12.8,13.0,18.0,,
11,Bahrain,BHR,"1,300,000",760,-,-,33.6,0.846,0.875,63.9,3.2,2.23,72.8,74.4,70.7,72.3,47486.0,47224.0,43821.0,45411.0,2.11,2.23,2.47,2.67,2.87,2.32,2.37,2.09,2.15,,2.15,"2,453",994.2,940.4,10.5,14,2.5,2.37,2.15,2.37,2.15,1.04,2.34,1.3,1.87,,100.0,2.0,2.0,10.0,10.0,-0.95,-0.51,0.2,0.7,0.4,0.8,0.45,0.471,-0.14,0.17,55.1,27.4,51.8,41.6,67.7,62,80,80,33.4,20.27,1.30%,1.50%,7.5,15.0,15.0,3.56%,3.70%
